[CityServiceResult{result=48029, methodName='getPopulationOfCountry', inputQuery='Seychelles', clientZone=1, turnaroundTime=175, executionTime=7, waitingTime=88, serverZone=1}]
[CityServiceResult{result=32847337, methodName='getPopulationOfCountry', inputQuery='Ukraine', clientZone=4, turnaroundTime=663, executionTime=1, waitingTime=582, serverZone=4}]
[CityServiceResult{result=233433, methodName='getPopulationOfCountry', inputQuery='Bhutan', clientZone=1, turnaroundTime=173, executionTime=3, waitingTime=90, serverZone=1}]
[CityServiceResult{result=15411242, methodName='getPopulationOfCountry', inputQuery='Belgium', clientZone=5, turnaroundTime=293, executionTime=2, waitingTime=211, serverZone=5}]
[CityServiceResult{result=21079844, methodName='getPopulationOfCountry', inputQuery='Peru', clientZone=2, turnaroundTime=487, executionTime=2, waitingTime=405, serverZone=2}]
[CityServiceResult{result=6340891, methodName='getPopulationOfCountry', inputQuery='Guatemala', clientZone=3, turnaroundTime=403, executionTime=4, waitingTime=319, serverZone=3}]
[CityServiceResult{result=32847337, methodName='getPopulationOfCountry', inputQuery='Ukraine', clientZone=4, turnaroundTime=740, executionTime=4, waitingTime=656, serverZone=4}]
[CityServiceResult{result=48029, methodName='getPopulationOfCountry', inputQuery='Seychelles', clientZone=1, turnaroundTime=247, executionTime=4, waitingTime=163, serverZone=1}]
[CityServiceResult{result=15411242, methodName='getPopulationOfCountry', inputQuery='Belgium', clientZone=5, turnaroundTime=364, executionTime=3, waitingTime=281, serverZone=5}]
[CityServiceResult{result=21079844, methodName='getPopulationOfCountry', inputQuery='Peru', clientZone=2, turnaroundTime=558, executionTime=3, waitingTime=475, serverZone=2}]
[CityServiceResult{result=6340891, methodName='getPopulationOfCountry', inputQuery='Guatemala', clientZone=3, turnaroundTime=476, executionTime=2, waitingTime=394, serverZone=3}]
[CityServiceResult{result=3988332, methodName='getPopulationOfCountry', inputQuery='Paraguay', clientZone=4, turnaroundTime=813, executionTime=1, waitingTime=732, serverZone=4}]
[CityServiceResult{result=3328228, methodName='getPopulationOfCountry', inputQuery='Honduras', clientZone=1, turnaroundTime=286, executionTime=1, waitingTime=205, serverZone=1}]
[CityServiceResult{result=21079844, methodName='getPopulationOfCountry', inputQuery='Peru', clientZone=5, turnaroundTime=430, executionTime=2, waitingTime=348, serverZone=5}]
[CityServiceResult{result=21079844, methodName='getPopulationOfCountry', inputQuery='Peru', clientZone=2, turnaroundTime=632, executionTime=2, waitingTime=550, serverZone=2}]
[CityServiceResult{result=30376, methodName='getPopulationOfCountry', inputQuery='Palau', clientZone=3, turnaroundTime=489, executionTime=3, waitingTime=406, serverZone=3}]
[CityServiceResult{result=1070, methodName='getPopulationOfCountry', inputQuery='Tokelau', clientZone=4, turnaroundTime=889, executionTime=2, waitingTime=807, serverZone=4}]
[CityServiceResult{result=4722032, methodName='getPopulationOfCountry', inputQuery='Guinea', clientZone=1, turnaroundTime=273, executionTime=3, waitingTime=190, serverZone=1}]
[CityServiceResult{result=361020, methodName='getPopulationOfCountry', inputQuery='Comoros', clientZone=5, turnaroundTime=490, executionTime=2, waitingTime=408, serverZone=5}]
[CityServiceResult{result=21079844, methodName='getPopulationOfCountry', inputQuery='Peru', clientZone=2, turnaroundTime=707, executionTime=2, waitingTime=625, serverZone=2}]
[CityServiceResult{result=4896738, methodName='getPopulationOfCountry', inputQuery='Tunisia', clientZone=3, turnaroundTime=341, executionTime=3, waitingTime=258, serverZone=3}]
[CityServiceResult{result=361020, methodName='getPopulationOfCountry', inputQuery='Comoros', clientZone=4, turnaroundTime=926, executionTime=3, waitingTime=843, serverZone=4}]
[CityServiceResult{result=21079844, methodName='getPopulationOfCountry', inputQuery='Peru', clientZone=1, turnaroundTime=334, executionTime=2, waitingTime=252, serverZone=1}]
[CityServiceResult{result=361020, methodName='getPopulationOfCountry', inputQuery='Comoros', clientZone=5, turnaroundTime=566, executionTime=3, waitingTime=483, serverZone=5}]
[CityServiceResult{result=369776, methodName='getPopulationOfCountry', inputQuery='Guyana', clientZone=2, turnaroundTime=782, executionTime=3, waitingTime=699, serverZone=2}]
[CityServiceResult{result=1070, methodName='getPopulationOfCountry', inputQuery='Tokelau', clientZone=3, turnaroundTime=366, executionTime=3, waitingTime=283, serverZone=3}]
[CityServiceResult{result=29145131, methodName='getPopulationOfCountry', inputQuery='Poland', clientZone=4, turnaroundTime=911, executionTime=3, waitingTime=828, serverZone=4}]
[CityServiceResult{result=21079844, methodName='getPopulationOfCountry', inputQuery='Peru', clientZone=1, turnaroundTime=408, executionTime=3, waitingTime=325, serverZone=1}]
[CityServiceResult{result=361020, methodName='getPopulationOfCountry', inputQuery='Comoros', clientZone=5, turnaroundTime=639, executionTime=3, waitingTime=556, serverZone=5}]
[CityServiceResult{result=4803355, methodName='getPopulationOfCountry', inputQuery='Serbia', clientZone=2, turnaroundTime=609, executionTime=3, waitingTime=526, serverZone=2}]
[CityServiceResult{result=189578, methodName='getPopulationOfCountry', inputQuery='French Guiana', clientZone=3, turnaroundTime=440, executionTime=3, waitingTime=357, serverZone=3}]
[CityServiceResult{result=3989252, methodName='getPopulationOfCountry', inputQuery='Nepal', clientZone=4, turnaroundTime=887, executionTime=3, waitingTime=804, serverZone=4}]
[CityServiceResult{result=21079844, methodName='getPopulationOfCountry', inputQuery='Peru', clientZone=1, turnaroundTime=485, executionTime=6, waitingTime=399, serverZone=1}]
[CityServiceResult{result=361020, methodName='getPopulationOfCountry', inputQuery='Comoros', clientZone=5, turnaroundTime=714, executionTime=4, waitingTime=630, serverZone=5}]
[CityServiceResult{result=3328228, methodName='getPopulationOfCountry', inputQuery='Honduras', clientZone=2, turnaroundTime=613, executionTime=5, waitingTime=528, serverZone=2}]
[CityServiceResult{result=3989252, methodName='getPopulationOfCountry', inputQuery='Nepal', clientZone=4, turnaroundTime=964, executionTime=4, waitingTime=880, serverZone=4}]
[CityServiceResult{result=233433, methodName='getPopulationOfCountry', inputQuery='Bhutan', clientZone=3, turnaroundTime=383, executionTime=5, waitingTime=298, serverZone=3}]
[CityServiceResult{result=21079844, methodName='getPopulationOfCountry', inputQuery='Peru', clientZone=1, turnaroundTime=561, executionTime=3, waitingTime=478, serverZone=1}]
[CityServiceResult{result=4803355, methodName='getPopulationOfCountry', inputQuery='Serbia', clientZone=5, turnaroundTime=721, executionTime=4, waitingTime=637, serverZone=5}]
[CityServiceResult{result=7097388, methodName='getPopulationOfCountry', inputQuery='Belarus', clientZone=2, turnaroundTime=389, executionTime=4, waitingTime=305, serverZone=2}]
[CityServiceResult{result=15411242, methodName='getPopulationOfCountry', inputQuery='Belgium', clientZone=4, turnaroundTime=955, executionTime=4, waitingTime=871, serverZone=4}]
[CityServiceResult{result=3006587, methodName='getPopulationOfCountry', inputQuery='Slovakia', clientZone=3, turnaroundTime=360, executionTime=4, waitingTime=276, serverZone=3}]
[CityServiceResult{result=266998322, methodName='getPopulationOfCountry', inputQuery='United States', clientZone=1, turnaroundTime=612, executionTime=4, waitingTime=528, serverZone=1}]
[CityServiceResult{result=4803355, methodName='getPopulationOfCountry', inputQuery='Serbia', clientZone=5, turnaroundTime=796, executionTime=4, waitingTime=712, serverZone=5}]
[CityServiceResult{result=7097388, methodName='getPopulationOfCountry', inputQuery='Belarus', clientZone=2, turnaroundTime=461, executionTime=4, waitingTime=377, serverZone=2}]
[CityServiceResult{result=48029, methodName='getPopulationOfCountry', inputQuery='Seychelles', clientZone=4, turnaroundTime=913, executionTime=3, waitingTime=830, serverZone=4}]
[CityServiceResult{result=53608445, methodName='getPopulationOfCountry', inputQuery='Pakistan', clientZone=1, turnaroundTime=685, executionTime=5, waitingTime=600, serverZone=1}]
[CityServiceResult{result=3006587, methodName='getPopulationOfCountry', inputQuery='Slovakia', clientZone=3, turnaroundTime=437, executionTime=4, waitingTime=353, serverZone=3}]
[CityServiceResult{result=4803355, methodName='getPopulationOfCountry', inputQuery='Serbia', clientZone=5, turnaroundTime=872, executionTime=3, waitingTime=789, serverZone=5}]
[CityServiceResult{result=7097388, methodName='getPopulationOfCountry', inputQuery='Belarus', clientZone=2, turnaroundTime=537, executionTime=3, waitingTime=454, serverZone=2}]
[CityServiceResult{result=48029, methodName='getPopulationOfCountry', inputQuery='Seychelles', clientZone=4, turnaroundTime=990, executionTime=3, waitingTime=907, serverZone=4}]
[CityServiceResult{result=53608445, methodName='getPopulationOfCountry', inputQuery='Pakistan', clientZone=1, turnaroundTime=759, executionTime=4, waitingTime=675, serverZone=1}]
[CityServiceResult{result=7375148, methodName='getPopulationOfCountry', inputQuery='Switzerland', clientZone=3, turnaroundTime=514, executionTime=5, waitingTime=429, serverZone=3}]
[CityServiceResult{result=316458, methodName='getPopulationOfCountry', inputQuery='Suriname', clientZone=5, turnaroundTime=697, executionTime=3, waitingTime=614, serverZone=5}]
[CityServiceResult{result=7097388, methodName='getPopulationOfCountry', inputQuery='Belarus', clientZone=2, turnaroundTime=612, executionTime=3, waitingTime=529, serverZone=2}]
[CityServiceResult{result=24859223, methodName='getPopulationOfCountry', inputQuery='Romania', clientZone=4, turnaroundTime=1005, executionTime=4, waitingTime=921, serverZone=4}]
[CityServiceResult{result=4803355, methodName='getPopulationOfCountry', inputQuery='Serbia', clientZone=3, turnaroundTime=491, executionTime=6, waitingTime=405, serverZone=3}]
[CityServiceResult{result=316458, methodName='getPopulationOfCountry', inputQuery='Suriname', clientZone=1, turnaroundTime=825, executionTime=4, waitingTime=741, serverZone=1}]
[CityServiceResult{result=316458, methodName='getPopulationOfCountry', inputQuery='Suriname', clientZone=5, turnaroundTime=773, executionTime=4, waitingTime=689, serverZone=5}]
[CityServiceResult{result=8833274, methodName='getPopulationOfCountry', inputQuery='Greece', clientZone=2, turnaroundTime=662, executionTime=4, waitingTime=578, serverZone=2}]
[CityServiceResult{result=24859223, methodName='getPopulationOfCountry', inputQuery='Romania', clientZone=4, turnaroundTime=1081, executionTime=4, waitingTime=997, serverZone=4}]
[CityServiceResult{result=316458, methodName='getPopulationOfCountry', inputQuery='Suriname', clientZone=1, turnaroundTime=905, executionTime=5, waitingTime=820, serverZone=1}]
[CityServiceResult{result=7571439, methodName='getPopulationOfCountry', inputQuery='Kenya', clientZone=3, turnaroundTime=507, executionTime=6, waitingTime=421, serverZone=3}]
[CityServiceResult{result=134594036, methodName='getPopulationOfCountry', inputQuery='Brazil', clientZone=5, turnaroundTime=849, executionTime=4, waitingTime=765, serverZone=5}]
[CityServiceResult{result=3006587, methodName='getPopulationOfCountry', inputQuery='Slovakia', clientZone=2, turnaroundTime=702, executionTime=3, waitingTime=619, serverZone=2}]
[CityServiceResult{result=357957, methodName='getPopulationOfCountry', inputQuery='Bahamas', clientZone=4, turnaroundTime=1157, executionTime=4, waitingTime=1073, serverZone=4}]
[CityServiceResult{result=189578, methodName='getPopulationOfCountry', inputQuery='French Guiana', clientZone=3, turnaroundTime=569, executionTime=4, waitingTime=485, serverZone=3}]
[CityServiceResult{result=316458, methodName='getPopulationOfCountry', inputQuery='Suriname', clientZone=1, turnaroundTime=978, executionTime=3, waitingTime=895, serverZone=1}]
[CityServiceResult{result=8480241, methodName='getPopulationOfCountry', inputQuery='Israel', clientZone=5, turnaroundTime=591, executionTime=5, waitingTime=506, serverZone=5}]
[CityServiceResult{result=3006587, methodName='getPopulationOfCountry', inputQuery='Slovakia', clientZone=2, turnaroundTime=777, executionTime=4, waitingTime=693, serverZone=2}]
[CityServiceResult{result=1565638, methodName='getPopulationOfCountry', inputQuery='Togo', clientZone=4, turnaroundTime=1096, executionTime=3, waitingTime=1013, serverZone=4}]
[CityServiceResult{result=189578, methodName='getPopulationOfCountry', inputQuery='French Guiana', clientZone=3, turnaroundTime=646, executionTime=4, waitingTime=562, serverZone=3}]
[CityServiceResult{result=16357414, methodName='getPopulationOfCountry', inputQuery='Thailand', clientZone=1, turnaroundTime=992, executionTime=4, waitingTime=908, serverZone=1}]
[CityServiceResult{result=107338689, methodName='getPopulationOfCountry', inputQuery='Mexico', clientZone=5, turnaroundTime=580, executionTime=3, waitingTime=497, serverZone=5}]
[CityServiceResult{result=3006587, methodName='getPopulationOfCountry', inputQuery='Slovakia', clientZone=2, turnaroundTime=854, executionTime=3, waitingTime=771, serverZone=2}]
[CityServiceResult{result=276340, methodName='getPopulationOfCountry', inputQuery='Swaziland', clientZone=4, turnaroundTime=1137, executionTime=4, waitingTime=1053, serverZone=4}]
[CityServiceResult{result=233433, methodName='getPopulationOfCountry', inputQuery='Bhutan', clientZone=1, turnaroundTime=1017, executionTime=2, waitingTime=935, serverZone=1}]
[CityServiceResult{result=369776, methodName='getPopulationOfCountry', inputQuery='Guyana', clientZone=3, turnaroundTime=722, executionTime=4, waitingTime=638, serverZone=3}]
[CityServiceResult{result=107338689, methodName='getPopulationOfCountry', inputQuery='Mexico', clientZone=5, turnaroundTime=656, executionTime=4, waitingTime=572, serverZone=5}]
[CityServiceResult{result=3022187, methodName='getPopulationOfCountry', inputQuery='Benin', clientZone=2, turnaroundTime=694, executionTime=3, waitingTime=611, serverZone=2}]
[CityServiceResult{result=63717971, methodName='getPopulationOfCountry', inputQuery='Turkey', clientZone=4, turnaroundTime=1089, executionTime=4, waitingTime=1005, serverZone=4}]
[CityServiceResult{result=7571439, methodName='getPopulationOfCountry', inputQuery='Kenya', clientZone=1, turnaroundTime=997, executionTime=5, waitingTime=912, serverZone=1}]
[CityServiceResult{result=3645095, methodName='getPopulationOfCountry', inputQuery='Uganda', clientZone=3, turnaroundTime=379, executionTime=5, waitingTime=294, serverZone=3}]
[CityServiceResult{result=7375148, methodName='getPopulationOfCountry', inputQuery='Switzerland', clientZone=5, turnaroundTime=632, executionTime=3, waitingTime=549, serverZone=5}]
[CityServiceResult{result=9362428, methodName='getPopulationOfCountry', inputQuery='Sweden', clientZone=2, turnaroundTime=745, executionTime=4, waitingTime=661, serverZone=2}]
[CityServiceResult{result=6340891, methodName='getPopulationOfCountry', inputQuery='Guatemala', clientZone=4, turnaroundTime=1066, executionTime=3, waitingTime=983, serverZone=4}]
[CityServiceResult{result=736951, methodName='getPopulationOfCountry', inputQuery='Gambia', clientZone=1, turnaroundTime=1047, executionTime=5, waitingTime=962, serverZone=1}]
[CityServiceResult{result=70068919, methodName='getPopulationOfCountry', inputQuery='United Kingdom', clientZone=3, turnaroundTime=251, executionTime=4, waitingTime=167, serverZone=3}]
[CityServiceResult{result=7287342, methodName='getPopulationOfCountry', inputQuery='Ghana', clientZone=5, turnaroundTime=693, executionTime=3, waitingTime=610, serverZone=5}]
[CityServiceResult{result=134594036, methodName='getPopulationOfCountry', inputQuery='Brazil', clientZone=2, turnaroundTime=728, executionTime=4, waitingTime=644, serverZone=2}]
[CityServiceResult{result=6340891, methodName='getPopulationOfCountry', inputQuery='Guatemala', clientZone=4, turnaroundTime=1137, executionTime=3, waitingTime=1054, serverZone=4}]
[CityServiceResult{result=6340891, methodName='getPopulationOfCountry', inputQuery='Guatemala', clientZone=1, turnaroundTime=1045, executionTime=4, waitingTime=961, serverZone=1}]
[CityServiceResult{result=7287342, methodName='getPopulationOfCountry', inputQuery='Ghana', clientZone=5, turnaroundTime=767, executionTime=4, waitingTime=683, serverZone=5}]
[CityServiceResult{result=3989252, methodName='getPopulationOfCountry', inputQuery='Nepal', clientZone=3, turnaroundTime=329, executionTime=5, waitingTime=244, serverZone=3}]
[CityServiceResult{result=1073335, methodName='getPopulationOfCountry', inputQuery='Botswana', clientZone=2, turnaroundTime=680, executionTime=3, waitingTime=597, serverZone=2}]
[CityServiceResult{result=24859223, methodName='getPopulationOfCountry', inputQuery='Romania', clientZone=4, turnaroundTime=1200, executionTime=3, waitingTime=1117, serverZone=4}]
[CityServiceResult{result=5996338, methodName='getPopulationOfCountry', inputQuery='Senegal', clientZone=1, turnaroundTime=1061, executionTime=4, waitingTime=977, serverZone=1}]
[CityServiceResult{result=3328228, methodName='getPopulationOfCountry', inputQuery='Honduras', clientZone=3, turnaroundTime=381, executionTime=5, waitingTime=296, serverZone=3}]
[CityServiceResult{result=3639169, methodName='getPopulationOfCountry', inputQuery='Cambodia', clientZone=5, turnaroundTime=830, executionTime=5, waitingTime=745, serverZone=5}]
[CityServiceResult{result=374575, methodName='getPopulationOfCountry', inputQuery='Guadeloupe', clientZone=2, turnaroundTime=754, executionTime=3, waitingTime=671, serverZone=2}]
[CityServiceResult{result=316458, methodName='getPopulationOfCountry', inputQuery='Suriname', clientZone=4, turnaroundTime=1262, executionTime=3, waitingTime=1179, serverZone=4}]
[CityServiceResult{result=5996338, methodName='getPopulationOfCountry', inputQuery='Senegal', clientZone=1, turnaroundTime=1138, executionTime=4, waitingTime=1054, serverZone=1}]
[CityServiceResult{result=3988332, methodName='getPopulationOfCountry', inputQuery='Paraguay', clientZone=3, turnaroundTime=271, executionTime=4, waitingTime=187, serverZone=3}]
[CityServiceResult{result=3639169, methodName='getPopulationOfCountry', inputQuery='Cambodia', clientZone=5, turnaroundTime=906, executionTime=3, waitingTime=823, serverZone=5}]
[CityServiceResult{result=3989252, methodName='getPopulationOfCountry', inputQuery='Nepal', clientZone=2, turnaroundTime=720, executionTime=4, waitingTime=636, serverZone=2}]
[CityServiceResult{result=316458, methodName='getPopulationOfCountry', inputQuery='Suriname', clientZone=4, turnaroundTime=1339, executionTime=4, waitingTime=1255, serverZone=4}]
[CityServiceResult{result=5996338, methodName='getPopulationOfCountry', inputQuery='Senegal', clientZone=1, turnaroundTime=1208, executionTime=3, waitingTime=1125, serverZone=1}]
[CityServiceResult{result=3639169, methodName='getPopulationOfCountry', inputQuery='Cambodia', clientZone=5, turnaroundTime=980, executionTime=3, waitingTime=897, serverZone=5}]
[CityServiceResult{result=3907506, methodName='getPopulationOfCountry', inputQuery='Ireland', clientZone=3, turnaroundTime=263, executionTime=3, waitingTime=180, serverZone=3}]
[CityServiceResult{result=15411242, methodName='getPopulationOfCountry', inputQuery='Belgium', clientZone=2, turnaroundTime=747, executionTime=2, waitingTime=665, serverZone=2}]
[CityServiceResult{result=316458, methodName='getPopulationOfCountry', inputQuery='Suriname', clientZone=4, turnaroundTime=1415, executionTime=4, waitingTime=1331, serverZone=4}]
[CityServiceResult{result=184225, methodName='getPopulationOfCountry', inputQuery='Guam', clientZone=1, turnaroundTime=1012, executionTime=3, waitingTime=929, serverZone=1}]
[CityServiceResult{result=100848918, methodName='getPopulationOfCountry', inputQuery='Japan', clientZone=5, turnaroundTime=1045, executionTime=4, waitingTime=961, serverZone=5}]
[CityServiceResult{result=3907506, methodName='getPopulationOfCountry', inputQuery='Ireland', clientZone=3, turnaroundTime=338, executionTime=4, waitingTime=254, serverZone=3}]
[CityServiceResult{result=15411242, methodName='getPopulationOfCountry', inputQuery='Belgium', clientZone=2, turnaroundTime=823, executionTime=3, waitingTime=740, serverZone=2}]
[CityServiceResult{result=316458, methodName='getPopulationOfCountry', inputQuery='Suriname', clientZone=4, turnaroundTime=1489, executionTime=3, waitingTime=1406, serverZone=4}]
[CityServiceResult{result=1565638, methodName='getPopulationOfCountry', inputQuery='Togo', clientZone=1, turnaroundTime=1017, executionTime=4, waitingTime=933, serverZone=1}]
[CityServiceResult{result=100848918, methodName='getPopulationOfCountry', inputQuery='Japan', clientZone=5, turnaroundTime=1122, executionTime=5, waitingTime=1037, serverZone=5}]
[CityServiceResult{result=361020, methodName='getPopulationOfCountry', inputQuery='Comoros', clientZone=3, turnaroundTime=305, executionTime=5, waitingTime=220, serverZone=3}]
[CityServiceResult{result=447039, methodName='getPopulationOfCountry', inputQuery='Equatorial Guinea', clientZone=5, turnaroundTime=780, executionTime=4, waitingTime=606, serverZone=2}]
[CityServiceResult{result=3645095, methodName='getPopulationOfCountry', inputQuery='Uganda', clientZone=4, turnaroundTime=1406, executionTime=4, waitingTime=1322, serverZone=4}]
[CityServiceResult{result=61881622, methodName='getPopulationOfCountry', inputQuery='Philippines', clientZone=1, turnaroundTime=947, executionTime=3, waitingTime=864, serverZone=1}]
[CityServiceResult{result=2501302, methodName='getPopulationOfCountry', inputQuery='Panama', clientZone=3, turnaroundTime=368, executionTime=4, waitingTime=284, serverZone=3}]
[CityServiceResult{result=1698635, methodName='getPopulationOfCountry', inputQuery='Kuwait', clientZone=4, turnaroundTime=1286, executionTime=4, waitingTime=1112, serverZone=5}]
[CityServiceResult{result=447039, methodName='getPopulationOfCountry', inputQuery='Equatorial Guinea', clientZone=5, turnaroundTime=852, executionTime=3, waitingTime=679, serverZone=2}]
[CityServiceResult{result=266998322, methodName='getPopulationOfCountry', inputQuery='United States', clientZone=4, turnaroundTime=1483, executionTime=4, waitingTime=1399, serverZone=4}]
[CityServiceResult{result=7348242, methodName='getPopulationOfCountry', inputQuery='Bolivia', clientZone=1, turnaroundTime=1024, executionTime=4, waitingTime=940, serverZone=1}]
[CityServiceResult{result=2501302, methodName='getPopulationOfCountry', inputQuery='Panama', clientZone=3, turnaroundTime=442, executionTime=5, waitingTime=357, serverZone=3}]
[CityServiceResult{result=8249, methodName='getPopulationOfCountry', inputQuery='Tuvalu', clientZone=4, turnaroundTime=1323, executionTime=3, waitingTime=1150, serverZone=5}]
[CityServiceResult{result=134594036, methodName='getPopulationOfCountry', inputQuery='Brazil', clientZone=2, turnaroundTime=806, executionTime=3, waitingTime=723, serverZone=2}]
[CityServiceResult{result=1182883, methodName='getPopulationOfCountry', inputQuery='Slovenia', clientZone=4, turnaroundTime=1556, executionTime=2, waitingTime=1474, serverZone=4}]
[CityServiceResult{result=1565638, methodName='getPopulationOfCountry', inputQuery='Togo', clientZone=1, turnaroundTime=901, executionTime=2, waitingTime=819, serverZone=1}]
[CityServiceResult{result=63717971, methodName='getPopulationOfCountry', inputQuery='Turkey', clientZone=5, turnaroundTime=1274, executionTime=2, waitingTime=1192, serverZone=5}]
[CityServiceResult{result=6340891, methodName='getPopulationOfCountry', inputQuery='Guatemala', clientZone=3, turnaroundTime=515, executionTime=2, waitingTime=433, serverZone=3}]
[CityServiceResult{result=134594036, methodName='getPopulationOfCountry', inputQuery='Brazil', clientZone=2, turnaroundTime=879, executionTime=2, waitingTime=797, serverZone=2}]
[CityServiceResult{result=1182883, methodName='getPopulationOfCountry', inputQuery='Slovenia', clientZone=4, turnaroundTime=1632, executionTime=2, waitingTime=1550, serverZone=4}]
[CityServiceResult{result=2501302, methodName='getPopulationOfCountry', inputQuery='Panama', clientZone=1, turnaroundTime=888, executionTime=3, waitingTime=805, serverZone=1}]
